Mode: M
Intg. Time(us): 395
Saturation: 90

  0	111			
  1	115			
  2	114			
  3	112			
  4	114			
  5	112			
  6	112			
  7	113			
  8	112			
  9	112			
 10	113			
 11	110			
 12	111			
 13	112			
 14	112			
 15	114			
 16	112			
 17	114			
 18	114			
 19	110			
 20	115			
 21	112			
 22	112			
 23	115			
 24	112			
 25	112			
 26	115			
 27	112			
 28	114			
 29	112			
 30	113			
 31	116			
 32	116			
 33	122			
 34	131			
 35	146			
 36	173			
 37	204			
 38	234			
 39	250			
 40	254			
 41	247			
 42	240			
 43	235			
 44	238			
 45	239			
 46	249			
 47	268			
 48	289			
 49	324			
 50	375			
 51	439			
 52	523			
 53	604			
 54	647			
 55	666			
 56	636			
 57	580			
 58	546			
 59	515			
 60	495			
 61	475			
 62	451			
 63	431			
 64	411			
 65	398			
 66	396			
 67	398			
 68	403			
 69	401			
 70	397			
 71	404			
 72	402			
 73	402			
 74	408			
 75	405			
 76	409			
 77	403			
 78	399			
 79	399			
 80	401			
 81	397			
 82	401			
 83	401			
 84	413			
 85	407			
 86	413			
 87	412			
 88	415			
 89	406			
 90	407			
 91	402			
 92	404			
 93	395			
 94	395			
 95	392			
 96	384			
 97	386			
 98	381			
 99	378			
100	377			
101	373			
102	372			
103	368			
104	366			
105	363			
106	363			
107	357			
108	361			
109	358			
110	355			
111	355			
112	354			
113	355			
114	355			
115	353			
116	353			
117	352			
118	353			
119	348			
120	349			
121	345			
122	348			
123	345			
124	351			
125	341			
126	340			
127	338			
128	335			
129	336			
130	330			
131	326			
132	328			
133	320			
134	320			
135	317			
136	309			
137	308			
138	305			
139	294			
140	289			
141	283			
142	279			
143	274			
144	266			
145	265			
146	259			
147	251			
148	248			
149	240			
150	234			
151	231			
152	222			
153	219			
154	217			
155	208			
156	204			
157	198			
158	195			
159	197			
160	187			
161	184			
162	181			
163	177			
164	175			
165	171			
166	168			
167	165			
168	162			
169	160			
170	155			
171	152			
172	152			
173	150			
174	146			
175	145			
176	144			
177	140			
178	140			
179	136			
180	136			
181	135			
182	133			
183	134			
184	130			
185	128			
186	129			
187	128			
188	128			
189	123			
190	124			
191	125			
192	122			
193	123			
194	123			
195	120			
196	123			
197	122			
198	122			
199	120			
200	118			
201	118			
202	119			
203	117			
204	117			
205	117			
206	115			
207	116			
208	115			
209	116			
210	116			
211	114			
212	116			
213	113			
214	114			
215	115			
216	114			
217	113			
218	115			
219	111			
220	114			
221	113			
222	112			
223	114			
224	111			
225	111			
226	114			
227	111			
228	114			
229	113			
230	115			
231	113			
232	111			
233	113			
234	115			
235	112			
236	115			
237	113			
238	112			
239	113			
240	112			
241	113			
242	116			
243	112			
244	114			
245	114			
246	113			
247	116			
248	111			
249	111			
250	114			
251	114			
252	114			
253	112			
254	111			
255	114			
256	112			
257	114			
258	113			
259	112			
260	115			
261	114			
262	112			
263	113			
264	112			
265	113			
266	115			
267	112			
268	113			
269	113			
270	111			
271	116			
272	111			
273	112			
274	113			
275	111			
276	115			
277	113			
278	111			
279	114			
280	114			
281	113			
282	114			
283	110			
284	113			
285	112			
286	112			
287	113			

